game_id,date,away_team,home_team,park,away_runs,home_runs,innings,day_night,temp,wind_dir,wind_speed,sky,precip
BOS202308120,2023/08/12,DET,BOS,BOS07,6,2,9,day,80,rtol,4,cloudy,none
BOS202308130,2023/08/13,DET,BOS,BOS07,3,6,9,day,82,tocf,4,cloudy,none
BOS202308250,2023/08/25,LAN,BOS,BOS07,7,4,9,night,70,tolf,13,cloudy,none
BOS202308260,2023/08/26,LAN,BOS,BOS07,5,8,9,day,83,fromcf,2,cloudy,none
BOS202308270,2023/08/27,LAN,BOS,BOS07,7,4,9,day,74,fromcf,3,cloudy,none
BOS202308280,2023/08/28,HOU,BOS,BOS07,13,5,9,night,70,tolf,3,cloudy,none
BOS202308290,2023/08/29,HOU,BOS,BOS07,6,2,9,night,69,fromrf,2,cloudy,none
BOS202308300,2023/08/30,HOU,BOS,BOS07,7,4,9,day,78,torf,2,cloudy,none
BOS202309080,2023/09/08,BAL,BOS,BOS07,11,2,9,night,82,tolf,9,cloudy,none
BOS202309090,2023/09/09,BAL,BOS,BOS07,13,12,9,day,72,tolf,2,cloudy,none
BOS202309100,2023/09/10,BAL,BOS,BOS07,3,7,9,day,73,fromrf,3,overcast,rain
BOS202309121,2023/09/12,NYA,BOS,BOS07,3,2,9,day,74,unknown,4,cloudy,none
BOS202309122,2023/09/12,NYA,BOS,BOS07,4,1,9,night,74,ltor,6,cloudy,none
BOS202309141,2023/09/14,NYA,BOS,BOS07,0,5,9,day,75,ltor,8,sunny,none
BOS202309142,2023/09/14,NYA,BOS,BOS07,8,5,9,night,70,torf,1,sunny,none
BOS202309220,2023/09/22,CHA,BOS,BOS07,2,3,9,night,62,unknown,8,cloudy,none
BOS202309230,2023/09/23,CHA,BOS,BOS07,1,0,9,day,61,fromcf,4,overcast,drizzle
BOS202309240,2023/09/24,CHA,BOS,BOS07,3,2,6,day,63,ltor,12,overcast,drizzle
BOS202309260,2023/09/26,TBA,BOS,BOS07,9,7,9,night,56,tocf,8,cloudy,none
BOS202309270,2023/09/27,TBA,BOS,BOS07,5,0,9,night,61,ltor,7,cloudy,none
CHA202304030,2023/04/03,SFN,CHA,CHI12,12,3,9,day,57,fromlf,9,cloudy,none
CHA202304050,2023/04/05,SFN,CHA,CHI12,3,7,9,day,67,tolf,23,overcast,none
CHA202304060,2023/04/06,SFN,CHA,CHI12,16,6,9,day,46,tolf,10,sunny,none
CHA202304140,2023/04/14,BAL,CHA,CHI12,6,3,9,night,72,torf,9,cloudy,none
CHA202304150,2023/04/15,BAL,CHA,CHI12,6,7,10,day,77,tolf,10,cloudy,none
CHA202304160,2023/04/16,BAL,CHA,CHI12,8,4,9,day,43,fromlf,8,overcast,none
CHA202304181,2023/04/18,PHI,CHA,CHI12,7,4,9,day,53,tocf,9,sunny,none
CHA202304182,2023/04/18,PHI,CHA,CHI12,0,3,9,day,54,fromcf,6,sunny,none
CHA202304190,2023/04/19,PHI,CHA,CHI12,5,2,9,day,60,fromcf,14,cloudy,none
CHA202304270,2023/04/27,TBA,CHA,CHI12,14,5,9,night,56,fromlf,15,cloudy,none
CHA202304280,2023/04/28,TBA,CHA,CHI12,3,2,9,night,55,torf,10,cloudy,none
CHA202304290,2023/04/29,TBA,CHA,CHI12,12,3,9,night,56,tocf,13,cloudy,none
CHA202304300,2023/04/30,TBA,CHA,CHI12,9,12,9,day,46,tolf,7,overcast,rain
CHA202305020,2023/05/02,MIN,CHA,CHI12,2,3,10,night,48,torf,7,overcast,none
CHA202305030,2023/05/03,MIN,CHA,CHI12,4,6,9,night,48,fromlf,9,sunny,none
CHA202305040,2023/05/04,MIN,CHA,CHI12,7,3,12,day,63,fromlf,4,sunny,none
CHA202305120,2023/05/12,HOU,CHA,CHI12,5,1,9,night,58,torf,7,overcast,none
CHA202305130,2023/05/13,HOU,CHA,CHI12,1,3,9,night,59,ltor,11,cloudy,none
CHA202305140,2023/05/14,HOU,CHA,CHI12,4,3,9,day,58,torf,12,overcast,none
CHA202305160,2023/05/16,CLE,CHA,CHI12,3,8,9,night,61,ltor,15,cloudy,none
CHA202305170,2023/05/17,CLE,CHA,CHI12,2,7,9,night,50,ltor,9,cloudy,none
CHA202305180,2023/05/18,CLE,CHA,CHI12,3,1,9,day,62,fromcf,5,cloudy,none
CHA202305190,2023/05/19,KCA,CHA,CHI12,0,2,9,night,61,torf,5,cloudy,none
CHA202305200,2023/05/20,KCA,CHA,CHI12,1,5,9,day,59,ltor,10,sunny,none
CHA202305210,2023/05/21,KCA,CHA,CHI12,2,5,9,day,75,ltor,4,sunny,none
CHA202305290,2023/05/29,ANA,CHA,CHI12,6,4,9,night,74,fromlf,3,cloudy,none
CHA202305300,2023/05/30,ANA,CHA,CHI12,3,7,9,night,73,fromlf,9,sunny,none
